region,date,nominal_house_price,real_house_price,fair_value_real,fair_value_nominal,fair_value_gap_log,fair_value_gap_lower_90,fair_value_gap_upper_90,mortgage_rate_lag3,financial_stress_excess_lag3,transaction_growth,earnings_growth_12m_lag1,price_growth
East of England,2013-07-01,199137.0,201162.80874872836,220475.54867905768,218255.25110927867,-0.09167222442777856,-0.2305193519612386,0.04717490310568148,2.3,0.0,0.1975014037057831,-0.0212969692964419,0.0158681668078273
East of England,2013-08-01,200041.0,201257.0547112462,219753.66987864953,218425.85314222265,-0.08792426651987917,-0.2267713940533392,0.05092286101358087,2.3,0.0,0.1693911700347534,-0.0202721493690039,0.0004683961841767
East of England,2013-09-01,199877.0,200280.38446014127,218797.8209348076,218357.14053010504,-0.08842980426058489,-0.22727693179404493,0.05041732327287515,2.3,0.0,0.2560747663551401,-0.0191393443630918,-0.0048646630769493
East of England,2013-10-01,201547.0,201953.75479313824,218835.9316551665,218395.17449171198,-0.08028354400009974,-0.21913067153355978,0.0585635835333603,2.3,0.0,0.2271646384109666,-0.0190322310107812,0.0083204274504229
East of England,2013-11-01,200471.0,200673.08770161288,218820.92523182076,218600.56176230233,-0.08657654767604583,-0.22542367520950587,0.05227057985741421,2.3,0.0,0.2224678195293199,-0.0139494964564328,-0.0063615798817817
East of England,2013-12-01,205065.0,204447.33433734943,218143.25766259656,218802.3007371059,-0.06484158369233128,-0.20368871122579132,0.07400554384112876,2.3,0.0,0.3173661360347322,-0.0129124546481665,0.0186332538708491
East of England,2014-01-01,203602.0,204218.97575757577,220194.40521346487,219529.16531856015,-0.07531798748849816,-0.2141651150219582,0.06352914004496188,2.3,0.0,0.4030375995554731,-0.0062501296062043,-0.0011175797852711
East of England,2014-02-01,205151.0,204738.63618090452,219015.2347289648,219456.35302650553,-0.06740707212443375,-0.2062541996578938,0.07144005540902629,2.3,0.0,0.3382038488952246,-0.0053491889636468,0.002541391517612
East of England,2014-03-01,206108.0,205281.08726178535,218871.35767660258,219753.0147065184,-0.06410395202040498,-0.20295107955386502,0.07474317551305507,2.3,0.0,0.1703572483023323,-0.0032129667269219,0.0026459770901272
East of England,2014-04-01,210280.0,208599.44055944055,218045.99355072057,219802.6581513306,-0.04429015944528736,-0.1831372869787474,0.09455696808817268,2.3,0.0,0.3133700226610554,-0.0021610442342518,0.0160356633460914
East of England,2014-05-01,213895.0,212397.735,218154.46115687134,219692.30730802752,-0.02674272384268228,-0.16558985137614232,0.11210440369077776,2.3,0.0,0.1248560828962517,-0.0041222116953613,0.018044764787918
East of England,2014-06-01,215704.0,213766.53892215568,218069.60684775564,220046.06854123983,-0.01992982939328236,-0.1587769569267424,0.11891729814017768,2.3,0.0,0.1939627488760436,-0.0010981067125644,0.0064238544288688
East of England,2014-07-01,219457.0,218138.9399399399,219246.05922138662,220570.8088239328,-0.00506245823725493,-0.14390958577071497,0.1337846692962051,2.3,0.0,0.1186261868479663,-0.0051161017036494,0.0202477190507828
East of England,2014-08-01,221782.0,219789.94610778443,218597.1426720734,220578.38565701665,0.005441795206987621,-0.13340533232647242,0.14428892274044766,2.3,0.0,0.0836543753439735,-0.0021284623694263,0.0075401008817141
East of England,2014-09-01,223836.0,221604.33499501497,218623.95585607033,220825.60697244568,0.013540359564814253,-0.1253067679686458,0.1523874870982743,2.3,0.0,0.1305803571428572,-0.0010677440300121,0.0082212171031805
East of England,2014-10-01,224885.0,222421.12051792827,218744.75231942773,221167.9066754335,0.016666988671927285,-0.12218013886153276,0.15551411620538733,2.3,0.0,0.1242448421292601,0.001980632971996,0.0036790072913355
East of England,2014-11-01,223944.0,222154.23776223775,220219.66145019422,221993.83797748684,0.008746395970947063,-0.13010073156251298,0.1475935235044071,2.3,0.0,-0.1049776643267389,0.000982644293737,-0.0012006188952167
East of England,2014-12-01,224758.0,222961.73226773227,221292.46741050968,223075.28688612304,0.007514943986194567,-0.13133218354726547,0.1463620715196546,2.3,0.0,-0.0041744479841809,0.0049956927753829,0.003628247224082
East of England,2015-01-01,225847.0,225847.0,224021.05017226448,224021.05017226448,0.008117757436771456,-0.13072937009668859,0.1469648849702315,2.3,0.0,-0.1188118811881188,0.0063758373330673,0.0128576263059922
East of England,2015-02-01,226943.0,226486.83316582913,224936.5946778348,225389.63917869653,0.006868250456090408,-0.13197887707736963,0.14571537798955045,2.3,0.0,-0.0893475366178429,0.008372251380847,0.0028290326553239
East of England,2015-03-01,227055.0,226144.04714142423,225373.49654897736,226281.3454776742,0.003413162351142418,-0.13543396518231762,0.14226028988460246,2.3,0.0,-0.0131180625630675,0.01142792486988,-0.0015146385492084
East of England,2015-04-01,229445.0,228066.95195195192,225732.83252686003,227096.7771342731,0.010287091747331445,-0.1285600357861286,0.14913421928079149,2.3,0.0,-0.0918166132610303,0.01142792486988,0.0084670617941355
East of England,2015-05-01,232551.0,230692.45054945056,226359.89383640824,228183.53849974286,0.0189592572704278,-0.11988787026303224,0.15780638480388784,2.3,0.0,-0.0525417946093483,0.01345280560035,0.0114462057812101
East of England,2015-06-01,233631.0,231532.51796407183,227140.35087765203,229199.02475267608,0.019152217803174665,-0.11969490973028538,0.1579993453366347,2.3,0.0,0.0564819795589026,0.0104175073625174,0.0036348894879747
East of England,2015-07-01,239245.0,237570.285,228572.9875660189,230184.27750857896,0.038607936785499675,-0.10023919074796037,0.17745506431895972,2.3,0.0,0.081001781410458,0.0114279248698798,0.0257431865068387
East of England,2015-08-01,241945.0,239532.78664007975,228862.62832702536,231167.38792749896,0.04556835642702772,-0.09327877110643232,0.18441548396048776,2.3,0.0,-0.0425596749619096,0.0104164969450102,0.0082267871461585
East of England,2015-09-01,244652.0,242454.52694610777,230374.76433610747,232462.75313673686,0.05110678201416796,-0.08774034551929208,0.189953909547628,2.3,0.0,0.0303828013600964,0.0104195221531602,0.0121238713635882
East of England,2015-10-01,245823.0,243372.12263210368,231634.09772973627,233966.7673946883,0.04943267917297689,-0.08941444836048315,0.18827980670643693,2.3,0.0,0.0396431106154313,0.0124373339765366,0.0037774658014697
East of England,2015-11-01,249124.0,246640.21136590227,232681.67087328498,235024.89011672192,0.05825934054990434,-0.0805877869835557,0.19710646808336438,2.3,0.0,0.110992275698158,0.0124363275865997,0.0133389997116193
East of England,2015-12-01,250225.0,247730.23429710863,233707.08878526298,236060.63449307028,0.058271815261162985,-0.08057531227229706,0.19711894279462303,2.3,0.0,0.0854936569222284,0.0094111194364405,0.0044097486293512
East of England,2016-01-01,252519.0,252011.424120603,237056.86323370953,237534.31915160222,0.06117437868292441,-0.07767274885053563,0.20002150621638445,2.3,0.0,0.0898876404494382,0.0159810310649881,0.0171340311074743
East of England,2016-02-01,252732.0,251465.80761523047,237564.8618157382,238761.0595086674,0.05686633790997142,-0.08198078962348862,0.19571346544343146,2.3,0.0,0.1713700833455183,0.0159647100026363,-0.0021673938147372
East of England,2016-03-01,256923.0,254615.30838323353,237837.4114202584,239993.0375056384,0.06816651657996076,-0.07068061095349928,0.2070136441134208,2.3,0.0,0.9134713701431494,0.0149508099990114,0.012446785027274
East of England,2016-04-01,256970.0,254661.8862275449,239095.72195502222,241262.75266760553,0.06307274694367848,-0.07577438058978156,0.20191987447713852,2.3,0.0,-0.1566019812729,0.0129310681690653,0.0001829174560885
East of England,2016-05-01,261564.0,258698.2589641434,239600.01739666614,242254.19684416195,0.0766914203794613,-0.062155707153998735,0.21553854791292135,2.3,0.0,-0.1540031208738447,0.0149630261794346,0.0157256302634554
East of England,2016-06-01,264489.0,261071.1500994036,240387.57686221777,243534.64483725184,0.08254045153743483,-0.05630667599602521,0.22138757907089487,2.3,0.0,-0.115682281059063,0.0149690977671146,0.0091306166894664
East of England,2016-07-01,267798.0,264337.3896620278,241467.67065949758,244628.87883530167,0.09049068312816289,-0.048356444405297155,0.22933781066162293,2.3,0.0,-0.125436215587437,0.0139632058860621,0.0124333024374365
East of England,2016-08-01,268266.0,264012.0297324083,241730.61519134336,245625.569716078,0.08817072350920974,-0.050676404024250304,0.22701785104266978,2.3,0.0,-0.0169743263314237,0.0119393272315988,-0.001231609078399
East of England,2016-09-01,270191.0,265380.4777448071,242937.0051390598,247340.69707511528,0.08836238971412769,-0.050484737819332354,0.22720951724758773,2.3,0.0,-0.0512028954651905,0.0119573796675651,0.005169892059424
East of England,2016-10-01,269689.0,264625.668972332,243918.46871217567,248585.58946296255,0.08148223262087129,-0.057364894912588754,0.22032936015433133,2.3,0.0,-0.1879266627657499,0.0089485510597213,-0.0028483038827129
East of England,2016-11-01,270473.0,264871.48816568044,244377.17524735216,249545.27260907867,0.08053192607364679,-0.058315201459813254,0.21937905360710683,2.3,0.0,-0.070167932399187,0.008957506012424,0.0009285005885111
East of England,2016-12-01,273009.0,266043.11776251224,243602.36921510284,249980.6789830713,0.08812113086656126,-0.05072599666689878,0.2269682584000213,2.05,0.0,-0.0490853658536585,0.006967451759934,0.0044136344553731
East of England,2017-01-01,272123.0,266487.3165680473,246517.70347024014,251731.06880042652,0.0778928396023808,-0.06095428793107924,0.21673996713584084,2.05,0.0,-0.0498969072164948,0.0056428229931664,0.001668257361155
East of England,2017-02-01,274329.0,266805.77571008814,245423.75172152635,252344.05892011922,0.0835346465214819,-0.05531248101197814,0.22238177405494194,2.05,0.0,-0.096242666333791,0.0025409830143556,0.0011943120378106
East of England,2017-03-01,272504.0,263996.5580487805,245235.46954501435,253138.3245555284,0.07371721619992044,-0.0651299113335396,0.21256434373338048,2.05,0.0,-0.4064524747845836,-0.001330448852486,-0.010584896528627
East of England,2017-04-01,276523.0,266848.7259475218,244981.48669779382,253862.99074726072,0.08549928516338667,-0.05334784237007337,0.22434641269684671,2.05,0.0,0.1922767497988737,-0.0012406325381935,0.0107458629868606
East of England,2017-05-01,279053.0,268247.4627299129,244250.02553105963,254088.89866423424,0.09371752741242112,-0.04512960012103892,0.23256465494588116,2.05,0.0,0.15394438138479,-0.0051230790589392,0.0052279945095268
East of England,2017-06-01,280366.0,269509.62052274926,244989.74175620585,254858.4121189936,0.09538774809913875,-0.043459379434321294,0.2342348756325988,2.05,0.0,0.1407185628742515,-0.0069973653323121,0.0046941645207443
East of England,2017-07-01,284682.0,273923.6686046512,245982.531539608,255643.47688708504,0.1075889624326809,-0.03125816510077914,0.24643608996614094,2.05,0.0,-0.0033252050543116,-0.0050192724345679,0.0162453984576771
East of England,2017-08-01,284475.0,272142.26878612716,244865.84986200187,255962.48958384484,0.10561446756246085,-0.033232659970999195,0.24446159509592089,2.05,0.0,0.0321605870925965,-0.0040551438225858,-0.0065245092797106
East of England,2017-09-01,285274.0,272120.15561959654,244843.73601725243,256679.0827733734,0.10562352247373497,-0.033223605059725075,0.244470650007195,2.05,0.0,0.021541568495456,-0.0068592037378163,-8.125920714263657e-05
East of England,2017-10-01,285404.0,271982.89059500955,245342.60530984314,257449.13870378304,0.10308353936421177,-0.03576358816924827,0.24193066689767181,2.05,0.0,0.09343100756575,-0.007758389545133,-0.0005045552619282
East of England,2017-11-01,284088.0,269693.48374760995,244504.91295636276,257555.02412120387,0.09805066613590618,-0.04079646139755386,0.23689779366936622,2.05,0.0,0.0408374554239043,-0.0077301329508623,-0.0084530933533333
East of England,2017-12-01,285947.0,270681.9551954242,243820.83588337433,257571.05422120815,0.10451085819880745,-0.034336269334652586,0.2433579857322675,2.05,0.0,-0.0350539702896227,-0.0095711554220156,0.0036584658705187
East of England,2018-01-01,285873.0,271907.9396551724,245471.67206211388,258078.97848222248,0.10228200002859289,-0.03656512750486715,0.24112912756205293,2.05,0.0,-0.0034722222222222,-0.0089561029147288,0.0045190172458227
East of England,2018-02-01,285219.0,269992.81887511915,244906.13347301818,258717.55691157712,0.09752035343523069,-0.04132677409822935,0.23636748096869073,2.05,0.0,-0.0251381215469613,-0.0090958392881573,-0.0070681899704911
East of England,2018-03-01,283450.0,268062.71428571426,244943.4141079664,259003.61008395243,0.09019374061983498,-0.04865338691362506,0.22904086815329502,2.3,0.0,-0.0719108710330858,-0.0070109725966027,-0.00717440022194
East of England,2018-04-01,284595.0,268124.13187855785,244218.8489068491,259221.2152546012,0.09338530687944768,-0.04546182065401236,0.23223243441290772,2.3,0.0,-0.0412955465587044,-0.0040701208061024,0.0002290902641561
East of England,2018-05-01,285156.0,267636.96408317576,243271.91472660739,259196.0581880671,0.09545164218353364,-0.043395485349926405,0.23429876971699368,2.3,0.0,-0.0111889831550473,-0.0039779349515929,-0.001818601362892
East of England,2018-06-01,286389.0,268794.2126654064,243630.42289888332,259578.03366265717,0.09829366136933082,-0.04055346616412922,0.23714078890279086,2.3,0.0,-0.0569351907934585,-0.0038864461545844,0.0043146275894105
East of England,2018-07-01,290809.0,272942.66257088847,243981.75728521225,259952.3657681315,0.11216828863969042,-0.026678838893769624,0.2510154161731505,2.3,0.0,-0.0262455516014235,-0.0038864461545844,0.0153156677587027
East of England,2018-08-01,290907.0,271240.04788732395,242622.55281239812,260214.52038791945,0.11149725922310161,-0.027349868310358433,0.2503443867565617,2.3,0.0,0.0320995399414469,-0.0048507380750543,-0.0062575315480284
East of England,2018-09-01,289461.0,269638.6238273922,242590.1033044929,260424.0182503418,0.10570943084690576,-0.03313769668655428,0.2445565583803658,2.3,0.0,-0.1042284459088412,-0.0056439021335817,-0.0059215821336238
East of England,2018-10-01,289927.0,269819.5979381443,242642.77239368885,260724.91253178855,0.10616329062825258,-0.03268383690520746,0.24501041816171262,2.3,0.0,0.0120812740252609,-0.0037055283458655,0.0006709476665278
East of England,2018-11-01,290306.0,269414.82056074764,242385.68882532362,261180.9537191302,0.10572206272764895,-0.033125064805811094,0.244569190261109,2.3,0.0,0.0721706454465074,-0.0036831043719173,-0.0015013042177507
East of England,2018-12-01,287775.0,266816.59663865546,242274.15261797354,261304.75070881133,0.0964915713881247,-0.042355556145335344,0.23533869892158474,2.55,0.0,-0.0709934655000553,-0.0026626065022496,-0.0096907572818683
East of England,2019-01-01,285588.0,266781.64063969895,244932.8577137542,262199.02089599264,0.08544637564101976,-0.053400751892440285,0.2242935031744798,2.55,0.0,-0.0319396051103367,0.0034492618151187,-0.0001310199193493
East of England,2019-02-01,286748.0,266611.20224719105,244396.7692034733,262855.7396871193,0.08699841788186546,-0.05184870965159458,0.2258455454153255,2.55,0.0,-0.0062340606404081,0.0061822103726147,-0.0006390726856633
East of England,2019-03-01,283751.0,263331.5355140187,244022.84524991634,262945.05983626435,0.07615198062390327,-0.06269514690955677,0.2149991081573633,2.55,0.0,-0.0240087304474354,0.0062679395168465,-0.0123775961858392
East of England,2019-04-01,284922.0,262943.81598513015,242721.5150802071,263009.41613927775,0.0800256242519648,-0.05882150328149524,0.21887275178542484,2.55,0.0,0.0387105855855856,0.0053445358500681,-0.0014734476844893
East of England,2019-05-01,285640.0,262873.5125115848,242590.36551816587,263600.2058349456,0.0802986931919154,-0.058548434341544636,0.21914582072537545,2.55,0.0,-0.0024869435463814,0.003547053143025,-0.0002674064552614
East of England,2019-06-01,285274.0,262536.6839666358,242838.4307575423,263869.7550728984,0.07799449251347923,-0.06085263501998081,0.21684162004693927,2.55,0.0,-0.1023335474202525,0.0045547775757341,-0.001282154755847
East of England,2019-07-01,288264.0,265288.3707136237,243324.02844284254,264397.40854967484,0.08642342024013949,-0.05242370729332055,0.22527054777359953,2.55,0.0,0.0114207400639561,0.0045547775757341,0.0104266049952368
East of England,2019-08-01,287428.0,263298.89667896676,242641.4719397573,264877.4980691812,0.081704946421981,-0.057142181111479035,0.22055207395544105,2.55,0.0,-0.0541991692837605,0.0045547775757341,-0.0075275495709874
East of England,2019-09-01,288709.0,264228.6055299539,243035.0963569549,265551.94314934144,0.08360879611879035,-0.05523833141466969,0.2224559236522504,2.55,0.0,0.0246444335458557,0.0065369582041334,0.0035247823465489
East of England,2019-10-01,287808.0,263890.4376731302,243850.44094136247,265951.6893650509,0.07897891778963739,-0.05986820974382265,0.21782604532309743,2.55,0.0,-0.0232230059685295,0.0065535084321302,-0.0012806502904751
East of England,2019-11-01,285806.0,261571.7585253456,243620.31075087073,266191.37680231093,0.07109774722123952,-0.06774938031222053,0.20994487475469956,2.55,0.0,-0.0508195031440057,0.0093583108074257,-0.0088253511445195
East of England,2019-12-01,287478.0,263101.9852534562,243782.52187132064,266368.61654620635,0.07626520960123173,-0.06258191793222831,0.21511233713469177,2.55,0.0,0.0376728659990461,0.010330444673902,0.0058330765930456
East of England,2020-01-01,285803.0,262294.2504621072,245009.3857476077,266968.93794452323,0.06817044794550675,-0.07067667958795329,0.2070175754789668,2.55,0.0,0.065236952609478,0.0276262167452472,-0.0030747667105845
East of England,2020-02-01,285943.0,261456.1685082873,244453.38111760272,267347.80653949303,0.06724203334943546,-0.07160509418402458,0.2060891608828955,2.55,0.0,0.0116909039064727,0.0227781619732923,-0.0032003131215443
East of England,2020-03-01,285012.0,260604.8950276243,244467.47848481676,267363.22420393856,0.06392316046073532,-0.07492396707272472,0.20277028799419536,2.55,0.0,-0.0745434215430488,0.0238041136749853,-0.003261205612123
East of England,2020-04-01,287501.0,263123.0350230415,245940.25180427957,268726.25700669014,0.0675331089747111,-0.07131401855874894,0.20638023650817114,2.55,0.0,-0.5603740344220084,0.025721349842916,0.009616288366141
East of England,2020-05-01,287030.0,262691.97235023044,246156.5049532291,268962.54569411237,0.06501460534367887,-0.07383252218978117,0.2038617328771389,2.55,0.0,-0.4977561705310396,0.0324237247599308,-0.0016395985787198
East of England,2020-06-01,288667.0,263946.89779005526,245972.57073398784,269009.27675439155,0.07052790954505639,-0.06831921798840365,0.20937503707851643,2.55,0.0,-0.2907226329596947,0.035302229568741,0.0047658001952424
East of England,2020-07-01,289067.0,263101.3116406966,244547.363498481,268681.9472072938,0.07313016747057688,-0.06571696006288316,0.21197729500403692,1.9,0.0,-0.2028003613369466,0.0343489125986042,-0.0032087648141203
East of England,2020-08-01,292992.0,267901.5248618785,246277.1842131311,269342.41898837907,0.08416180173829169,-0.054685325795168355,0.22300892927175173,1.9,0.0,-0.2152956298200514,0.0296085417800955,0.018080295076098
East of England,2020-09-01,296829.0,270166.08340971585,245326.05502020067,269537.488446162,0.09644873104353735,-0.04239839648992269,0.2352958585769974,1.9,0.0,-0.0136412588249371,0.039142003018431,0.0084174251856641
East of England,2020-10-01,295661.0,269103.0,245858.2933789078,270122.25385336194,0.09033887916215555,-0.04850824837130449,0.2291860066956156,1.9,0.0,0.1153205199422287,0.0353338904832285,-0.0039426876842671
East of England,2020-11-01,296868.0,270697.8181818182,246524.87910598723,270358.10004674736,0.09354021884999675,-0.04530690868346329,0.2323873463834568,1.9,0.0,0.0907906168549088,0.0334254409155174,0.0059089307330264
East of England,2020-12-01,300749.0,273483.2939560439,246672.5878887069,271265.32323712786,0.10317863537258987,-0.035668492160870174,0.2420257629060499,1.9,0.0,0.2922794117647058,0.0372353301351717,0.0102374008930379
East of England,2021-01-01,298036.0,271513.5302752293,247947.8463408795,272168.33082735015,0.09079354636325121,-0.04805358117020883,0.22964067389671125,1.9,0.0,0.1796424046177671,0.0153930638279895,-0.0072285641686669
East of England,2021-02-01,299321.0,272434.2373968836,249828.51184884083,274484.29650260357,0.0866225244402532,-0.05222460309320684,0.22546965197371324,1.9,0.0,0.5025366403607667,0.0144434804951409,0.0033852809245988
East of England,2021-03-01,301495.0,273660.45246800734,249882.580377574,275298.6333666324,0.09089698430599569,-0.047950143227464354,0.22974411183945573,1.9,0.0,1.0385286615653109,0.0172604671741387,0.0044908590203149
East of England,2021-04-01,298764.0,269457.44959128066,248978.5561594522,276057.79489582765,0.07904371848029079,-0.05980340905316925,0.21789084601375083,1.9,0.0,2.0499383477188657,0.0144709046498952,-0.0154776219501329
East of England,2021-05-01,299192.0,268138.678700361,248148.94555167374,276887.2423678293,0.07747515172612651,-0.06137197580733353,0.21632227925958655,1.9,0.0,1.160337552742616,0.0070928480473795,-0.0049061868820299
East of England,2021-06-01,312775.0,279052.628032345,247923.2247606967,277883.735305796,0.1182812743149757,-0.020565853218484337,0.2571284018484358,1.9,0.0,2.216207128446537,0.0007303481048419,0.039896090460207
East of England,2021-07-01,299492.0,267201.7574123989,248712.15395810964,278768.0033790293,0.07170779921159998,-0.06713932832186006,0.21055492674506002,1.9,0.0,-0.0728045325779036,-0.0028471071994743,-0.0433963761900191
East of England,2021-08-01,309904.0,274517.9946476361,247785.42616848374,279725.5415255491,0.10245365848680343,-0.03639346904665661,0.24130078602026347,1.9,0.0,0.1814086814086815,0.0017438361375445,0.0270127942898241
